latitude,longitude
-6.1671218,35.7391322
-6.1663515,35.7414676
-6.1656553,35.7435987
-6.1658995,35.7434015
-6.1664666,35.7448421
-6.1669215,35.7375320
-6.1630906,35.7338224
-6.1631088,35.7335122
-6.1640422,35.7371363
-6.1629793,35.7369636
-6.1579512,35.7465256
-6.1527647,35.7476342
-6.1564548,35.7467191
-6.1725398,35.7509770
-6.1753142,35.7556246
-6.1725295,35.7655400
-6.1719623,35.7651553
-6.1711760,35.7643474
-6.1735862,35.7660457
-6.1716867,35.7699723
-6.1719127,35.7694489
-6.1711783,35.7695297
-6.1704576,35.7693814
-6.1704583,35.7687009
-6.1698228,35.7686975
-6.1698400,35.7680846
-6.1684056,35.7679745
-6.1691043,35.7686787
-6.1691163,35.7679734
-6.1697995,35.7705174
-6.1690572,35.7705304
-6.1627409,35.7684971
-6.1678507,35.7799146
-6.1669383,35.7792152
-6.1669863,35.7782603
-6.1665010,35.7770694
-6.1646302,35.7762444
-6.1657286,35.7764790
-6.1588376,35.7722211
-6.1595242,35.7731119
-6.1596142,35.7741649
-6.1589833,35.7740863
-6.1595009,35.7723434
-6.1593569,35.7722951
-6.1595809,35.7724748
-6.1602046,35.7953338
-6.1407798,35.7467488
-6.1323489,35.7467195
-6.1012374,35.7483760
-6.0975159,35.7488787
-6.0942781,35.7486749
-6.0809427,35.7503834
-6.1519735,35.8067435
-6.1519980,35.8510038
-6.1735175,35.6254720
-6.1735657,35.6466803
-6.1853554,35.7479937
-6.1615758,35.7376621
-6.1606002,35.7401123
-6.1598679,35.7368333
-6.1615134,35.7379960
-6.1614508,35.7401232
-6.1581042,35.7347515
-6.1589272,35.7332074
-6.1700035,35.7361949
-6.1702166,35.7362591
-6.1628539,35.7356948
-6.1692573,35.7362070
-6.1705010,35.7362796
-6.1627838,35.7362728
-6.1614368,35.7385523
-6.1591979,35.7359657
-6.1605288,35.7436327
-6.1578308,35.7410543
-6.1680689,35.7365089
-6.1570221,35.7391559
-6.1730046,35.7355941
-6.1605152,35.7467000
-6.1597395,35.7366033
-6.1804371,35.7512653
-6.1804225,35.7513416
-6.1792197,35.7516480
-6.1802479,35.7496992
